<,rank,date,main_artist,featured_artist_1,featured_artist_2,featured_artist_3,song,semanas_en_rank,peak_rank,artist_full,popularity,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cantidad_de_features
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,27,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,24,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,2,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1244679,92,01/05/2021,Morgan Wallen,,,,Wasted On You,19,9,Morgan Wallen,81,178520,no,11/01/2021,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.126,0.252,196,1
1195199,1,08/05/2021,The Weeknd,Ariana Grande,,,Save Your Tears,42,1,The Weeknd & Ariana Grande,,215627,si,09/08/2019,0.68,0.826,-5.487,0.0309,0.0212,0.0000124,0.543,0.644,118.051,1
1252282,2,08/05/2021,Silk Sonic,Bruno Mars,Anderson .Paak,,Leave The Door Open,30,1,Silk Sonic & Bruno Mars & Anderson .Paak,,,no,05/03/2021,,,,,,,,,,2
1254525,3,08/05/2021,Justin Bieber,Daniel Caesar,Giveon,,Peaches,28,1,Justin Bieber & Daniel Caesar & Giveon,36,198082,si,19/03/2021,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,2
1254525,3,08/05/2021,Justin Bieber,Daniel Caesar,Giveon,,Peaches,28,1,Justin Bieber & Daniel Caesar & Giveon,25,198082,si,19/03/2021,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,2
1258288,4,08/05/2021,Polo G,,,,Rapstar,20,1,Polo G,,,si,09/04/2021,,,,,,,,,,1
1196234,5,08/05/2021,Dua Lipa,DaBaby,,,Levitating,52,2,Dua Lipa & DaBaby,82,203808,no,01/10/2020,0.695,0.884,-2.278,0.0753,0.0561,0,0.213,,,1
1257647,6,08/05/2021,Doja Cat,SZA,,,Kiss Me More,25,3,Doja Cat & SZA,,,si,09/04/2021,,,,,,,,,,1
1255678,7,08/05/2021,Lil Nas X,,,,Montero (Call Me By Your Name),27,1,Lil Nas X,,,no,26/03/2021,,,,,,,,,,1
1227717,8,08/05/2021,Masked Wolf,,,,Astronaut In The Ocean,28,6,Masked Wolf,98,132780,no,07/06/2019,0.778,0.695,-6.865,0.0913,0.175,0,0.15,0.472,149.996,1
1227717,8,08/05/2021,Masked Wolf,,,,Astronaut In The Ocean,28,6,Masked Wolf,76,132780,no,07/06/2019,0.778,0.695,-6.865,0.0913,0.175,0,0.15,0.472,149.996,1
1248054,9,08/05/2021,Cardi B,,,,Up,20,1,Cardi B,92,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,08/05/2021,Cardi B,,,,Up,20,1,Cardi B,84,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,08/05/2021,Cardi B,,,,Up,20,1,Cardi B,26,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,08/05/2021,Cardi B,,,,Up,20,1,Cardi B,0,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,08/05/2021,Cardi B,,,,Up,20,1,Cardi B,0,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1244917,10,08/05/2021,Olivia Rodrigo,,,,Drivers License,28,1,Olivia Rodrigo,,,si,08/01/2021,,,,,,,,,,1
1179171,11,08/05/2021,The Weeknd,,,,Blinding Lights,87,1,The Weeknd,96,200040,no,29/12/2019,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,1
1256615,12,08/05/2021,Olivia Rodrigo,,,,Deja Vu,26,3,Olivia Rodrigo,,,no,01/04/2021,,,,,,,,,,1
1249349,14,08/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,85,205458,si,12/02/2021,0.907,0.393,-7.636,0.0539,0.451,1.35E-06,0.135,0.202,104.949,1
